Year,Life expectancy at birth (years)
31-12-1950,61.512
31-12-1951,62.058
31-12-1952,62.604
31-12-1953,63.15
31-12-1954,63.696
31-12-1955,64.242
31-12-1956,64.788
31-12-1957,65.334
31-12-1958,65.88
31-12-1959,66.466
31-12-1960,67.052
31-12-1961,67.638
31-12-1962,68.224
31-12-1963,68.81
31-12-1964,69.218
31-12-1965,69.626
31-12-1966,70.034
31-12-1967,70.442
31-12-1968,70.85
31-12-1969,71.178
31-12-1970,71.506
31-12-1971,71.834
31-12-1972,72.162
31-12-1973,72.49
31-12-1974,72.744
31-12-1975,72.998
31-12-1976,73.252
31-12-1977,73.506
31-12-1978,73.76
31-12-1979,74.13
31-12-1980,74.5
31-12-1981,74.87
31-12-1982,75.24
31-12-1983,75.61
31-12-1984,75.88
31-12-1985,76.15
31-12-1986,76.42
31-12-1987,76.69
31-12-1988,76.96
31-12-1989,77.174
31-12-1990,77.388
31-12-1991,77.602
31-12-1992,77.816
31-12-1993,78.03
31-12-1994,78.42
31-12-1995,78.81
31-12-1996,79.2
31-12-1997,79.59
31-12-1998,79.98
31-12-1999,80.266
31-12-2000,80.552
31-12-2001,80.838
31-12-2002,81.124
31-12-2003,81.41
31-12-2004,81.614
31-12-2005,81.818
31-12-2006,82.022
31-12-2007,82.226
31-12-2008,82.43
31-12-2009,82.624
31-12-2010,82.818
31-12-2011,83.012
31-12-2012,83.206
31-12-2013,83.4
31-12-2014,83.646
31-12-2015,83.892
31-12-2016,84.138
31-12-2017,84.384
31-12-2018,84.63
31-12-2019,84.762
31-12-2020,84.894
31-12-2021,85.026
31-12-2022,85.158
31-12-2023,85.29
31-12-2024,85.42
31-12-2025,85.55
31-12-2026,85.68
31-12-2027,85.81
31-12-2028,85.94
31-12-2029,86.074
31-12-2030,86.208
31-12-2031,86.342
31-12-2032,86.476
31-12-2033,86.61
31-12-2034,86.742
31-12-2035,86.874
31-12-2036,87.006
31-12-2037,87.138
31-12-2038,87.27
31-12-2039,87.402
31-12-2040,87.534
31-12-2041,87.666
31-12-2042,87.798
31-12-2043,87.93
31-12-2044,88.06
31-12-2045,88.19
31-12-2046,88.32
31-12-2047,88.45
31-12-2048,88.58
31-12-2049,88.708
31-12-2050,88.836
31-12-2051,88.964
31-12-2052,89.092
31-12-2053,89.22
31-12-2054,89.342
31-12-2055,89.464
31-12-2056,89.586
31-12-2057,89.708
31-12-2058,89.83
31-12-2059,89.946
31-12-2060,90.062
31-12-2061,90.178
31-12-2062,90.294
31-12-2063,90.41
31-12-2064,90.52
31-12-2065,90.63
31-12-2066,90.74
31-12-2067,90.85
31-12-2068,90.96
31-12-2069,91.064
31-12-2070,91.168
31-12-2071,91.272
31-12-2072,91.376
31-12-2073,91.48
31-12-2074,91.58
31-12-2075,91.68
31-12-2076,91.78
31-12-2077,91.88
31-12-2078,91.98
31-12-2079,92.078
31-12-2080,92.176
31-12-2081,92.274
31-12-2082,92.372
31-12-2083,92.47
31-12-2084,92.57
31-12-2085,92.67
31-12-2086,92.77
31-12-2087,92.87
31-12-2088,92.97
31-12-2089,93.072
31-12-2090,93.174
31-12-2091,93.276
31-12-2092,93.378
31-12-2093,93.48
31-12-2094,93.588
31-12-2095,93.696
31-12-2096,93.804
31-12-2097,93.912
31-12-2098,94.02
31-12-2099,94.128
31-12-2100,94.236
